date,high,low,flux,outTemp,outConditions,period
16-Feb,81,66,15,56,Sunny,before
17-Feb,76,65,11,48,Overcast,before
18-Feb,73,63,10,30,Overcast,before
19-Feb,80,57,23,23,Overcast,before
20-Feb,81,58,23,26,Overcast,before
21-Feb,71,56,15,24,Overcast,before
22-Feb,77,60,17,29,Overcast,before
23-Feb,76,62,14,33,Overcast,before
24-Feb,82,63,19,29,Sunny,before
25-Feb,73,63,10,12,Sunny,before
26-Feb,80,50,30,17,Overcast,before
27-Feb,80,56,24,25,Overcast,before
28-Feb,78,59,19,28,Sunny,before
1-Mar,82,65,17,39,Sunny,before
14-Apr,71.4,66.1,5.3,40,Overcast,after
15-Apr,70.7,66,4.7,39,Overcast,after
16-Apr,71.2,66.4,4.8,30,Overcast,after
17-Apr,71.1,66.5,4.6,32,Overcast,after
18-Apr,71.1,66.8,4.3,35,Sunny,after
19-Apr,70.2,67,3.2,39,Overcast,after
20-Apr,70.1,66.8,3.3,40,Mostly.Cloudy,after
21-Apr,70.5,67,3.5,51,Sunny,after
22-Apr,70.6,68.1,2.5,50,Overcast,after
23-Apr,70,67.4,2.6,43,Overcast,after
24-Apr,72,68.1,3.9,56,Sunny,after
25-Apr,74,68.6,5.4,67,Sunny,after
26-Apr,70.4,66,4.4,44,Rain,after
27-Apr,70,65.8,4.2,39,Snow,after
28-Apr,71,66.4,4.6,46,Partly.Sunny,after
29-Apr,71.4,67.2,4.2,64,Sunny,after
30-Apr,72.2,68.1,4.1,61,Partly.Sunny,after
1-May,70.8,66.4,4.4,45,Sunny,after
2-May,71,65.7,5.3,36,Snow,after
3-May,72.2,68,4.2,50,Sunny,after
4-May,73.1,68.5,4.6,63,Sunny,after
5-May,72,67.7,4.3,44,Rain,after
6-May,71.8,68,3.8,55,Sunny,after
7-May,72,67.8,4.2,61,Sunny,after
8-May,73.8,68.6,5.2,72,Sunny,after
9-May,71.7,68.1,3.6,61,Partly.Sunny,after
