forearm.len,body.mass,sex
152,779.3,male
154.1,788.5,male
157.1,839.1,male
156.9,760.9,male
158.2,763.2,male
159.1,786.2,male
159.3,774.7,male
159.9,772.4,male
157.7,708,male
158.7,705.7,male
160,731,male
160,673.6,male
161.1,678.2,male
160.1,618.4,male
163.1,595.4,male
163.1,652.9,male
164.1,708,male
165.1,717.2,male
164.8,744.8,male
164,747.1,male
162.6,765.5,male
163.3,790.8,male
164.6,786.2,male
165.2,793.1,male
164.8,806.9,male
166.2,744.8,male
167.2,770.1,male
167.7,767.8,male
167.8,783.9,male
166.7,790.8,male
166.1,786.2,male
170.1,804.6,male
160.9,818.4,male
162.7,846,male
163.2,873.6,male
163.7,839.1,male
164,857.5,male
166.3,832.2,male
165.9,857.5,male
167,834.5,male
166.8,852.9,male
167.2,869,male
168,875.9,male
169.6,873.6,male
170.7,850.6,male
170,892,male
168.8,912.6,male
168.9,912.6,male
168,910.3,male
164.3,905.7,male
163.8,905.7,male
162.2,898.9,male
162.2,977,male
162.2,997.7,male
162.7,960.9,male
163.7,965.5,male
164.8,958.6,male
164.7,942.5,male
165.3,933.3,male
165.3,919.5,male
166.1,958.6,male
167.1,974.7,male
167.1,970.1,male
167.1,958.6,male
167.4,954,male
168,956.3,male
168.3,956.3,male
170.8,942.5,male
170.9,947.1,male
169.9,970.1,male
168.2,983.9,male
168.9,1032.2,male
171.8,990.8,male
168.1,1036.8,male
165.8,1064.4,male
153.8,710.3,female
156.2,714.9,female
160,751.7,female
162.9,797.7,female
163,862.1,female
164.9,859.8,female
166.1,820.7,female
166.9,816.1,female
167.1,823,female
168,823,female
168.6,781.6,female
167.9,756.3,female
167.2,756.3,female
165.2,767.8,female
164.8,767.8,female
166.7,731,female
163.1,751.7,female
163.1,772.4,female
163.1,731,female
163.7,721.8,female
166.8,705.7,female
168,692,female
169,705.7,female
171.1,659.8,female
171.2,595.4,female
168.1,583.9,female
167.8,602.3,female
167.1,618.4,female
165.8,627.6,female
165,639.1,female
165.1,618.4,female
165.1,565.5,female
163.9,618.4,female
164.1,627.6,female
164,636.8,female
164.2,673.6,female
163.9,673.6,female
163,694.3,female
160.8,708,female
160.1,694.3,female
160.9,657.5,female
161.7,678.2,female
161.9,620.7,female
162.2,583.9,female
160.8,627.6,female
159.9,609.2,female
159.7,620.7,female
160,583.9,female
160.1,583.9,female
159.3,544.8,female
158.2,526.4,female
157.9,570.1,female
158.1,583.9,female
159,604.6,female
159,639.1,female
159,671.3,female
158.8,680.5,female
157.9,689.7,female
157.1,648.3,female
157.9,623,female
156.1,657.5,female
156.8,620.7,female
156.9,604.6,female
157.1,600,female
156.3,577,female
156,602.3,female
154,616.1,female
153.1,627.6,female
154,567.8,female
124.8,197.7,young
124.1,262.1,young
127.3,255.2,young
131.2,282.8,young
131.2,303.4,young
131.2,308,young
132.1,280.5,young
132.1,308,young
132.1,321.8,young
133.2,321.8,young
131.9,354,young
134.9,218.4,young
135.5,255.2,young
135.2,308,young
134.8,324.1,young
134.1,344.8,young
134.1,360.9,young
133.9,381.6,young
135,372.4,young
136,367.8,young
136.4,321.8,young
135.8,312.6,young
135.9,294.3,young
136.8,303.4,young
137.2,312.6,young
136.8,326.4,young
137,331,young
137.2,344.8,young
137,354,young
137,393.1,young
136.1,395.4,young
138.2,294.3,young
139.1,289.7,young
139,312.6,young
140,298.9,young
140.1,324.1,young
141.3,321.8,young
142.2,337.9,young
138,328.7,young
138,342.5,young
138.3,356.3,young
138.4,367.8,young
138.2,374.7,young
138,381.6,young
138,390.8,young
138.9,386.2,young
139.1,386.2,young
139.9,383.9,young
140.2,367.8,young
139.9,365.5,young
140,347.1,young
139.1,349.4,young
139.1,342.5,young
142,379.3,young
141.3,393.1,young
142.1,423,young
140.9,443.7,young
143.1,427.6,young
143,420.7,young
142.9,374.7,young
143.3,372.4,young
144,370.1,young
144.1,379.3,young
144.1,356.3,young
145.1,374.7,young
146.2,379.3,young
148,335.6,young
145.8,402.3,young
146.9,402.3,young
147.4,400,young
147.9,397.7,young
147.9,416.1,young
147.8,434.5,young
147.2,469,young
144.8,441.4,young
149.1,448.3,young
149.8,469,young
151,471.3,young
151,429.9,young
