age,wt,group
1,2.5,curtailed
1,3.8,curtailed
1,4.8,curtailed
3,4.8,curtailed
9,3,curtailed
11,4.5,curtailed
13,3.8,curtailed
14,3.6,curtailed
17,3.8,curtailed
22,4.6,curtailed
28,5,curtailed
29,7,curtailed
34,8.1,curtailed
37,8.5,curtailed
39,7.3,curtailed
39,9.2,curtailed
39,9,curtailed
43,9.4,curtailed
49,9.9,curtailed
57,8.2,curtailed
60,10.5,curtailed
60,10.8,curtailed
62,8.5,curtailed
65,11.9,curtailed
67,11.9,curtailed
67,11.6,curtailed
70,9.8,curtailed
72,12.4,curtailed
74,12.7,curtailed
74,11.3,curtailed
78,12.4,curtailed
85,11.3,curtailed
90,12.8,curtailed
90,13.1,curtailed
93,15,curtailed
95,12,curtailed
98,13.7,curtailed
99,12.55,curtailed
102,15.5,curtailed
103,13.6,curtailed
105,13.9,curtailed
108,15.7,curtailed
111,14.7,curtailed
113,14.7,curtailed
1,4,tame
5,4.3,tame
7,3.7,tame
9,4.6,tame
11,5.5,tame
12,5,tame
14,5,tame
16,4.8,tame
18,7,tame
20,6.7,tame
21,7.2,tame
28,8,tame
29,8.2,tame
30,8,tame
34,10,tame
35,10,tame
35,9.6,tame
41,11.3,tame
41,12.4,tame
43,12.1,tame
51,12.3,tame
51,12.7,tame
57,13,tame
58,13.7,tame
62,14.7,tame
69,14.8,tame
69,15.5,tame
71,15.4,tame
75,15.3,tame
76,17.2,tame
77,15.8,tame
82,15.3,tame
85,17.2,tame
92,18.9,tame
97,17.1,tame
99,18.2,tame
100,20,tame
105,21.7,tame
107,17.9,tame
109,18.2,tame
112,18,tame
113,23.2,tame
115,18.6,tame
