sllen,slarea,slperim,outwid,source
442.7,4607.5,1170.4,7.34,NorthR
678.4,11420.7,1746.8,12.17,NorthR
1364.1,36923.9,4425.5,40.72,NorthR
2604.5,155707,9858,98.61,NorthR
91.3,642.2,201.5,5.95,SFWillapaR
123,701.7,210.4,4.96,SFWillapaR
89,819.3,207.4,6.12,SFWillapaR
163.5,1557.1,406.2,10,SFWillapaR
151.3,1858.8,496.2,10.14,SFWillapaR
300.3,3025.3,842.3,10.14,SFWillapaR
364.6,5379.8,818.5,20.18,SFWillapaR
460.2,6009.6,1239.3,17.05,SFWillapaR
454.3,7334.7,1257.1,24.56,SFWillapaR
1123.5,52620.4,5105.9,39.04,SFWillapaR
147.4,431.1,207.4,2.46,WillapaR
300.3,1701.3,795.5,4.37,WillapaR
454.3,3775.1,1221.7,6.94,WillapaR
510.3,5878,1089.6,10.14,WillapaR
845.2,14570.1,2103.7,25.26,WillapaR
1039.6,27082.7,2840.6,45.56,WillapaR
2173.1,109260.2,7300.5,63.81,WillapaR
