len,wid,ht,sex,location
98,81,38,female,C
103,84,38,female,B
103,86,42,female,C
105,86,42,female,C
109,88,44,female,A
123,92,50,female,C
123,95,46,female,A
133,99,51,female,B
133,102,51,female,A
133,102,51,female,C
134,100,48,female,C
136,102,49,female,B
138,98,51,female,B
138,99,51,female,A
141,105,53,female,C
147,108,57,female,A
149,107,55,female,C
153,107,56,female,A
155,115,63,female,C
155,117,60,female,C
158,115,62,female,B
159,118,63,female,B
162,124,61,female,B
177,132,67,female,A
93,74,37,male,A
94,78,35,male,B
96,80,35,male,A
101,84,39,male,B
102,85,38,male,C
103,81,37,male,C
104,83,39,male,A
106,83,39,male,C
107,82,38,male,A
112,89,40,male,C
113,88,40,male,A
114,86,40,male,A
116,90,43,male,C
117,90,41,male,C
117,91,41,male,A
119,93,41,male,C
120,89,40,male,A
120,93,44,male,B
121,95,42,male,B
125,93,45,male,A
127,96,45,male,B
128,95,45,male,A
131,95,46,male,A
135,106,47,male,C
