year,sdep,basin
1983,1.5,west
1985,1.5,west
1986,3.3,west
1987,1.8,west
1988,1.7,west
1990,4,west
1991,0.5,west
1992,2.3,west
1993,2.1,west
1996,1.3,west
1997,0.8,west
1998,0.9,west
1999,0.7,west
2000,1.1,west
2001,0.6,west
2002,0.7,west
2004,1.4,west
1983,3,central
1984,4.4,central
1985,3.4,central
1986,5.7,central
1987,3.5,central
1988,5,central
1990,5.3,central
1991,2.5,central
1992,4,central
1993,3.4,central
1996,2.5,central
1997,1.8,central
1998,3,central
1999,1.5,central
2000,4,central
2001,5.2,central
2002,1.1,central
2003,1,central
2004,3.6,central
1983,3,east
1984,3.6,east
1085,2.4,east
1986,3.5,east
1987,3.4,east
1988,4.1,east
1990,5,east
1991,5.8,east
1992,5.1,east
1993,10.2,east
1996,7.6,east
1997,3.6,east
1999,11.1,east
2000,10,east
2001,8.2,east
2002,2.5,east
2003,9.2,east
